i,emission,prob
s0,-6,0.0
s0,-1,0.021953591104472963
s0,-2,2.2041696208933693e-99
s0,6,0.048313707566714915
s0,1,0.21399855288537015
s0,3,0.2342579110307164
s0,-5,2.4540457489939697e-174
s0,4,0.09620361068109022
s0,0,0.029980447130006263
s0,-4,8.660523236442844e-249
s0,5,0.03824835182364931
s0,2,0.31704382777797974
s0,-3,1.4910504962545134e-201
s0,NONE,0.0
s1,-6,0.0
s1,-1,0.15670436635862586
s1,-2,6.001925979947584e-43
s1,6,5.11094736927603e-193
s1,1,0.1351834231320575
s1,3,6.83577960133644e-161
s1,-5,5.019930728798025e-141
s1,4,0.0
s1,0,0.7081122105093165
s1,-4,0.0
s1,5,0.0
s1,2,9.984390335629146e-33
s1,-3,5.5675822311482786e-111
s1,NONE,0.0
s2,-6,0.04930141011426623
s2,-1,0.2002300180809885
s2,-2,0.3626520004451723
s2,6,0.0
s2,1,4.753830410088241e-41
s2,3,2.2178294882417692e-151
s2,-5,0.030727390489821742
s2,4,0.0
s2,0,0.00032578390514528463
s2,-4,0.10938033778839532
s2,5,0.0
s2,2,0.00225186191039372
s2,-3,0.24513119726581675
s2,NONE,0.0
