Prior,Next,prob
!,!,0.08543042587109999
!,",",0.26477453882942387
!,@,0.008568663174675473
!,A,0.022802322933272605
!,D,0.04557617854702802
!,E,0.019955590981553178
!,END,0.19929970393987706
!,G,0.005721931222956046
!,L,0.034189250740150307
!,N,0.03988271464358916
!,O,0.10820428148485539
!,P,0.03703598269186974
!,R,0.025649054884992032
!,V,0.04557617854702802
!,^,0.04272944659530859
!,~,0.014262127078114325
#,!,0.007000277238702523
#,#,0.24958414194621567
#,$,0.013931244801774326
#,",",0.07630995286942056
#,@,0.007000277238702523
#,D,0.007000277238702523
#,END,0.46444413640144167
#,G,0.02086221236484613
#,N,0.02086221236484613
#,O,0.013931244801774326
#,P,0.02086221236484613
#,R,0.007000277238702523
#,U,0.02086221236484613
#,V,0.013931244801774326
#,^,0.02086221236484613
#,~,0.03472414749098974
$,!,0.004803119649990489
$,$,0.01906981167966521
$,&,0.00955868365988206
$,",",0.20929237207532814
$,A,0.06662545177858094
$,END,0.05235875974890622
$,G,0.004803119649990489
$,M,0.004803119649990489
$,N,0.30440365227315963
$,O,0.02382537568955678
$,P,0.17124785999619554
$,R,0.02382537568955678
$,S,0.004803119649990489
$,U,0.004803119649990489
$,V,0.033336503709339924
$,^,0.05711432375879779
$,~,0.004803119649990489
&,!,0.012423642067029882
&,$,0.033060921248142645
&,",",0.004168730394584778
&,@,0.008296186230807329
&,A,0.07020802377414562
&,D,0.09497275879148094
&,G,0.004168730394584778
&,L,0.057825656265477955
&,N,0.16926696384348686
&,O,0.16513950800726432
&,P,0.020678553739474987
&,R,0.06608056793792307
&,V,0.21466897804193494
&,^,0.07846293544659073
",",!,0.052754933224638555
",",#,0.0071990313376651405
",",$,0.019187426571079195
",",&,0.030576402042822547
",",",",0.02697988347279833
",",@,0.011994389431030763
",",A,0.03357350085117606
",",D,0.03896827870621239
",",E,0.009596710384347952
",",END,0.24516867672093415
",",G,0.016190327762725682
",",L,0.04736015536960223
",",N,0.07073752607475964
",",O,0.08332534106984439
",",P,0.03417292061284676
",",R,0.04855899489294364
",",U,0.014991488239384277
",",V,0.11329632915337952
",",X,0.0018042534826288152
",",Y,0.0006054139592874098
",",Z,0.0018042534826288152
",",^,0.06594216798139402
",",~,0.025181624187786224
@,!,0.12733651189250692
@,#,0.009495042531288942
