i,j,prob
START,@,3.140381237976776e-07
START,",",1.0423048791670782e-05
START,L,0.013270771191120417
START,~,3.1780204711882995e-09
START,&,0.9855336163923292
START,S,0.001133068823382915
START,N,2.544366636224365e-10
START,A,4.624388462862572e-11
START,G,1.0242385963695515e-08
START,$,9.686268690258313e-08
START,V,2.746171647176218e-07
START,R,1.0152852490973611e-08
START,X,1.1333538047934666e-08
START,E,1.6706188916254423e-07
START,T,1.0278475375578653e-08
START,M,1.872686693192313e-09
START,D,1.698032418654618e-07
START,O,1.396566000574109e-16
START,Z,9.416571267076809e-11
START,!,1.8171971537939806e-10
START,^,2.3185763518115734e-08
START,U,1.6826693172916113e-12
START,P,5.0936589997677885e-05
START,Y,5.745551334052516e-08
START,#,3.329378689004532e-08
@,@,0.00879505948666254
@,",",0.0013880267357735373
@,L,0.018574954950452166
@,~,0.19005802496470625
@,&,7.506595734492947e-05
@,S,0.002027222641705907
@,N,0.0026463699282020204
@,A,0.012852859027629249
@,G,0.037310169259629065
@,$,0.04463315554409821
@,V,0.018777128057324025
@,R,0.17730191608697005
@,X,0.009718720731346307
@,E,0.004875312713374635
@,T,0.16297497485423507
@,M,0.04298980569419924
@,D,0.018713829466411164
@,O,0.0010030778908952697
@,Z,0.042335821309170324
@,!,0.031697486964396344
@,^,0.004122562975609322
@,U,0.002498358783262273
@,P,0.04309915313413661
@,Y,0.027269364016518062
@,#,0.0942509777410176
@,STOP,1.0601084929739523e-05
",",@,0.0017186104589016092
",",",",0.05742366139456924
",",L,0.00045381093068620233
",",~,0.012680984133543918
",",&,0.0012977834139236302
",",S,0.01765384919486794
",",N,0.021603931107709626
",",A,0.1854153194620884
",",G,0.08042910383684755
",",$,0.0010018473250703703
",",V,0.10384286449375678
",",R,0.07204853017072778
",",X,0.009739021356709307
",",E,0.006351601399096429
",",T,0.20379951902831897
",",M,0.0007641255822737326
",",D,0.01296401003259356
",",O,0.010071503662311302
",",Z,0.0013914121667199953
",",!,0.0032718211400317118
",",^,0.0007669019740099609
",",U,0.010683548362219268
",",P,0.010780811899305652
",",Y,0.0731583292685929
",",#,0.09692861493371334
",",STOP,0.003758483271410912
L,@,0.06315594540263084
L,",",0.006676831099973346
L,L,0.044232764177417165
L,~,0.13381208589916058
L,&,0.056460534470400704
L,S,0.002345417525243001
L,N,0.01810302297163898
L,A,0.0850054865478165
L,G,0.04919684255945165
L,$,0.017694756775186914
L,V,0.03860757581428941
L,R,0.0106762032419876
L,X,0.006359162228061419
L,E,0.02049849692476176
L,T,0.015586111776370854
L,M,0.02728459232896185
L,D,0.03081871776061949
L,O,4.405839481031665e-05
L,Z,0.019095954877907752
L,!,0.018528645885078753
L,^,0.13973031306430334
L,U,0.048352184343251114
L,P,0.011687193211888752
L,Y,0.00022517529433688127
L,#,0.08715899674303547
L,STOP,0.048662930681415605
~,@,0.011325036070729856
~,",",0.042702778330660614
~,L,0.017743969196744303
~,~,0.002482247233758591
~,&,5.242296476534921e-06
~,S,0.04617451144073445
~,N,0.016111362890749374
~,A,0.058018090066142454
~,G,0.05525428011947662
~,$,0.019096977282666752
~,V,0.011718730108155093
~,R,0.004203106499483834
~,X,0.027539609480143445
~,E,4.0208190179733275e-05
~,T,0.07972528163162412
~,M,0.017265169527189768
~,D,0.060882699721294044
~,O,0.018980102993159453
~,Z,0.05505361823252809
~,!,0.0030288155826106865
~,^,0.03447697455781174
~,U,0.18113292147748997
~,P,0.0755955143137069
~,Y,0.023443817096317533
~,#,0.13799892695038368
~,STOP,8.709782426451936e-09
&,@,0.004571426630647407
&,",",2.344119639896132e-05
&,L,0.0002399125710931532
&,~,0.00038426967742304015
&,&,0.0008324603450778061
&,S,6.593009355589601e-05
&,N,0.40750149483474907
&,A,0.0028311219033040056
&,G,0.0037055277825787797
&,$,0.005487088281434346
&,V,0.020014006115565044
&,R,5.4584587094988115e-05
&,X,0.020802349937134784
&,E,1.7968776042013465e-05
&,T,0.00013624060447581943
&,M,7.651127173621164e-06
&,D,0.14612802974068154
&,O,0.024662753015492648
&,Z,0.044940423737885045
&,!,0.31620186956177926
&,^,0.0009206313937049064
&,U,3.3135806953264095e-06
&,P,8.989384778318572e-05
&,Y,6.558811960734325e-05
&,#,0.00030633902384900175
&,STOP,5.683514773195766e-06
S,@,0.004846522219660858
S,",",0.03084959314448615
S,L,0.04220348316364651
S,~,0.05348385689763212
S,&,5.5208650144155686e-05
S,S,0.005338130218879548
S,N,0.04024161247574031
S,A,0.007603432991131942
S,G,0.005541236066402783
S,$,0.05864284795108981
S,V,0.08298383963996454
S,R,0.17622152391607518
S,X,0.0015645533953829048
S,E,0.0700973470848461
S,T,0.04956808370549023
S,M,0.037564947913607774
S,D,0.09976558318647598
S,O,0.001562761115817996
S,Z,0.00500651637474046
